el article	el	article	masculine singular definite article; the		
junto prep	junto	prep	next to, together with, alongside (+ a)	Me quedé junto a mis amigos.	I stayed next to my friends.
resultar verb	resultar	verb	to result, to turn out, to end up, to prove	Si estudiamos juntos, todo resultará mejor.	If we study together, everything will turn out better.
concepto noun	concepto	noun	concept	Este concepto me resulta difícil de entender.	I find this concept difficult to understand.
comportamiento noun	comportamiento	noun	behavior	El comportamiento del niño mejoró hoy.	The child's behavior improved today.
diferencia noun	diferencia	noun	difference	No noté diferencia en su comportamiento.	I didn't notice any difference in their behavior.
mayor adj	mayor	adj	comparative degree of grande: bigger	La diferencia es mayor que antes.	The difference is greater than before.
liderar verb	liderar	verb	to lead	xxx	xxx
completa adj	completa	adj	feminine singular of completo	xxx	xxx
durar verb	durar	verb	to last	La película dura dos horas completas.	The movie runs a full two hours.
operación noun	operación	noun	operation (a surgical procedure)	La operación duró tres horas y salió muy bien.	The operation lasted three hours and went very well.
mayor noun	mayor	noun	major (military rank)	El mayor lideró la operación nocturna.	The major led the night operation.
rápido adj	rápido	adj	rapid, quick, fast	El coche nuevo es muy rápido.	The new car is very fast.
rápido adv	rápido	adv	rapidly, quickly, fast	Habla rápido para terminar antes.	Speak quickly to finish sooner.
confianza noun	confianza	noun	confidence, trust	Su sonrisa me dio confianza inmediata.	Their smile gave me immediate confidence.
rápido noun	rápido	noun	rapid (part of a river)	Un rápido suave nos dio confianza.	A gentle rapid gave us confidence.
retrasar verb	retrasar	verb	to delay, to set back, to slow down, to postpone, to retard, to hold up, to put back	No quiero retrasar más el proyecto.	I don't want to delay the project any further.
mientras adv	mientras	adv	meanwhile	El tren se retrasa; mientras tanto, leemos un libro.	The train is delayed; meanwhile, we read a book.
pintar verb	pintar	verb	to paint (to apply paint to)	xxx	xxx
abuela noun	abuela	noun	grandmother, female equivalent of abuelo	Sus abuelas cuentan historias por la noche.	Their grandmothers tell stories at night.
fotografía noun	fotografía	noun	photograph	Esta fotografía antigua es de mi abuela.	This old photograph is of my grandmother.
marco noun	marco	noun	frame	Compramos un marco nuevo para la fotografía.	We bought a new frame for the photograph.
ventana noun	ventana	noun	window	Pinté la ventana ayer.	I painted the window yesterday.
cocina noun	cocina	noun	kitchen	La cocina tiene una ventana grande.	The kitchen has a large window.
mientras conj	mientras	conj	while, whilst, as (at the same time as)	Yo leo mientras tú cocinas.	I read while you cook.
soler verb	soler	verb	to be accustomed to doing something, to do something on a regular basis, to do something usually or often	Ella suele leer antes de dormir.	She usually reads before going to sleep.
correr verb	correr	verb	to run, to jog	Mañana correremos antes del trabajo.	Tomorrow we will run before work.
correr noun	correr	noun	course, passing (of time)	Con el correr del tiempo, aprendimos a escucharnos.	Over time, we learned to listen to each other.
largo adj	largo	adj	long, lengthy, extended, prolonged, protracted, (having great duration)	La película fue demasiado larga para los niños.	The movie was too long for the children.
puse verb	puse	verb	first-person singular preterite indicative of poner	xxx	xxx
mesa noun	mesa	noun	table	Puse los libros sobre la mesa.	I put the books on the table.
ofender verb	ofender	verb	to offend	No quise ofender a nadie.	I didn't mean to offend anyone.
medir verb	medir	verb	to measure	Siempre mido mis palabras para no ofender.	I always weigh my words so as not to offend.
largo noun	largo	noun	length	El largo de la mesa es de dos metros.	The length of the table is two meters.
largo intj	largo	intj	get out!, scram!	¡Largo de aquí ahora mismo!	Get out of here right now!
miedo noun	miedo	noun	fear	Siento mucho miedo antes de hablar.	I feel very afraid before speaking.
lealtad noun	lealtad	noun	loyalty	xxx	xxx
amor noun	amor	noun	love	Buscaba amor sincero y lealtad.	I was looking for sincere love and loyalty.
error noun	error	noun	error	Aprender de los errores ayuda a mejorar mucho.	Learning from mistakes helps a lot.
chiste noun	chiste	noun	joke (told joke)	No entendí el chiste del final de la película.	I didn't understand the joke at the end of the movie.
gracia noun	gracia	noun	grace, charm	Ese chiste no tiene ninguna gracia.	That joke isn't funny at all.
cinco num	cinco	num	five	Tengo cinco libros en casa.	I have five books at home.
número noun	número	noun	number	Este número es mayor que aquel.	This number is greater than that one.
cinco noun	cinco	noun	a five	El último número era un cinco.	The last number was a five.
salud noun	salud	noun	health	La salud es muy importante para todos.	Health is very important for everyone.
estornudar verb	estornudar	verb	to sneeze	xxx	xxx
salud intj	salud	intj	bless you (said to somebody who has sneezed)	Cuando estornudes otra vez, diré: ¡Salud!	When you sneeze again, I'll say: Bless you!
sistema noun	sistema	noun	system	Los sistemas de salud deben mejorar.	Health systems must improve.
viejo adj	viejo	adj	old (former, previous)	Cambiaron el viejo sistema por uno digital.	They replaced the old system with a digital one.
interesante adj	interesante	adj	interesting	Me hicieron una pregunta interesante hoy.	They asked me an interesting question today.
viejo noun	viejo	noun	an old person	Los viejos cuentan historias interesantes por la tarde.	The elderly tell interesting stories in the afternoon.
fiesta noun	fiesta	noun	party	Hoy tenemos una fiesta en casa.	Today we have a party at home.
fácil adj	fácil	adj	easy, facile, simple (requiring little effort)	Las instrucciones son fáciles de entender para todos.	The instructions are easy to understand for everyone.
realmente adv	realmente	adv	really, actually, genuinely	¿Realmente entiendes lo que pasó?	Do you really understand what happened?
oficina noun	oficina	noun	office (a room used for non-manual work)	Su oficina tiene una ventana grande.	Their office has a large window.
reunión noun	reunión	noun	meeting, session, appointment	Mañana tengo una reunión importante en la oficina.	Tomorrow I have an important meeting at the office.
corto adj	corto	adj	short (having little duration)	La reunión fue muy corta hoy.	The meeting was very short today.
frase noun	frase	noun	phrase	La frase es muy corta.	The sentence is very short.
pagar verb	pagar	verb	to pay	Que él pague lo que debe.	Let him pay what he owes.
lavo verb	lavo	verb	first-person singular present indicative of lavar	xxx	xxx
vaso noun	vaso	noun	drinking glass	Después de comer, lavo los vasos.	After eating, I wash the glasses.
ansioso adj	ansioso	adj	anxious	Estoy ansioso por empezar el curso.	I'm eager to start the course.
alfombra noun	alfombra	noun	carpet, rug (covering for a floor)	Aspiré la alfombra de la sala.	I vacuumed the carpet in the living room.
circular adj	circular	adj	circular	Compraron alfombras circulares para la sala.	They bought circular rugs for the living room.
tarjeta noun	tarjeta	noun	card	Necesitas la tarjeta para abrir la puerta.	You need the card to open the door.
compra noun	compra	noun	purchase, buying	Hice dos compras pequeñas con tarjeta.	I made two small purchases with a card.
disponible adj	disponible	adj	available	Tenemos habitaciones disponibles para esta noche.	We have rooms available for tonight.
segundo adj	segundo	adj	second (after the first)	Llegué en el segundo tren disponible.	I arrived on the second available train.
segundo noun	segundo	noun	second (unit of time)	Esperé cinco segundos para cruzar.	I waited five seconds to cross.
parar verb	parar	verb	to stop, halt	¿Podrías parar un segundo y escucharme?	Could you stop for a second and listen to me?
circular verb	circular	verb	to circulate	Habíamos circulado durante horas sin parar.	We had been driving for hours without stopping.
forma noun	forma	noun	shape; form; figure	La forma del vaso es circular.	The shape of the glass is circular.
cualquiera pron	cualquiera	pron	anyone, whoever, whomever	No soy mejor que cualquiera.	I'm not better than anyone.
cualquiera det	cualquiera	det	any, whatever, whichever	Cualquier persona puede aprender este idioma.	Anyone can learn this language.
cualquiera noun	cualquiera	noun	a person of no importance; a nobody, zero	Lo trataron como a un cualquiera en la reunión.	They treated him like a nobody at the meeting.
hecho adj	hecho	adj	done, completed	La tarea ya está hecha.	The homework is already done.
hecho noun	hecho	noun	fact	El hecho de estudiar ayuda mucho.	The fact of studying helps a lot.
diez num	diez	num	ten	Vivimos aquí desde hace diez años.	We have lived here for ten years.
diez noun	diez	noun	A (highest grade in testing)	El profesor me puso un diez en el proyecto.	The teacher gave me a ten on the project.
aprendizaje noun	aprendizaje	noun	learning	Los errores son parte del aprendizaje.	Mistakes are part of learning.
tipo noun	tipo	noun	kind, type, sort, manner	Hay muchos tipos de aprendizaje.	There are many types of learning.
impresionar verb	impresionar	verb	to impress; to make an impression on	Me impresiona lo rápido que aprendes.	I'm impressed by how quickly you learn.
detalle noun	detalle	noun	detail	Este detalle cambia toda la historia.	This detail changes the whole story.
ofrecer verb	ofrecer	verb	to offer, to offer up, to provide	Me gustaría que ofrecieras más detalles.	I would like you to provide more details.
aceptar verb	aceptar	verb	to accept, to take up, to take up on	Ayer acepté el trabajo que ofrecieron.	Yesterday I accepted the job they offered.
tal adj	tal	adj	such	No puedo aceptar tal comportamiento en clase.	I can't accept such behavior in class.
recordar verb	recordar	verb	to remember, to recollect	Ayer recordamos lo aprendido en clase.	Yesterday we remembered what we had learned in class.
entonces adv	entonces	adv	then, next, thereupon, at that time, at that point	Estaba lloviendo; entonces nos quedamos en casa.	It was raining; so we stayed home.
octubre noun	octubre	noun	October	El curso termina a finales de octubre.	The course ends at the end of October.
frío adj	frío	adj	cold (having a low temperature)	Los días fríos llegan en octubre.	The cold days arrive in October.
emoción noun	emoción	noun	excitement, anticipation	Vivimos grandes emociones durante la final.	We experienced great emotions during the final.
intenso adj	intenso	adj	intense, strong	Las emociones eran muy intensas durante la final.	The emotions were very intense during the final.
frío noun	frío	noun	cold, coldness (a condition of low temperature)	Siento un frío intenso en las manos.	I feel intense cold in my hands.
oscuro adj	oscuro	adj	dark (lacking light)	La habitación era oscura y fría.	The room was dark and cold.
tema noun	tema	noun	theme; plot (of a book, film or other media)	La película tiene un tema muy oscuro.	The movie has a very dark theme.
razón noun	razón	noun	reason	Ella tiene razón sobre el tema.	She is right about the issue.
camino noun	camino	noun	way, route	Tomamos un camino más corto.	We took a shorter route.
resolver verb	resolver	verb	to resolve, to sort out, to settle, to address, to tackle, to overcome, to iron out	Necesitamos resolver este problema juntos.	We need to solve this problem together.
violencia noun	violencia	noun	violence	La violencia no resuelve problemas.	Violence does not solve problems.
contra prep	contra	prep	against, versus	Estoy en contra de la violencia.	I am against violence.
flexibilidad noun	flexibilidad	noun	flexibility	xxx	xxx
contra noun	contra	noun	con (disadvantage)	Un contra que veo es la escasa flexibilidad.	One con I see is the limited flexibility.
sentar verb	sentar	verb	to seat	Nos pidieron que sentáramos a todos juntos.	They asked us to seat everyone together.
contra adv	contra	adv	opposite, facing	Nos sentamos en contra para poder mirarnos bien.	We sat across from each other so we could look at each other properly.
concentrar verb	concentrar	verb	to concentrate	Deberíamos concentrarnos en resolver el problema.	We should focus on solving the problem.
música noun	música	noun	music	Pongo música suave para concentrarme mejor.	I put on soft music to concentrate better.
tierra noun	tierra	noun	land, ground (the part of Earth which is not covered by oceans or other bodies of water)	Los niños jugaron en la tierra mientras esperaban.	The children played in the dirt while they waited.
